text,intent
0000000000000000000 nulle,0
marzen mleyektou,0
يا سي امين ممسطك وليت والله بففففففففففف,0
M3alem hhhhhhh,1
عسل حسين عسل,1
enssen mrith w m3a9ed men 7aja esmha e5wen,0
zero,0
5alla rou7ou dho7ka yestehel ....,0
j'ai bénéficié d'une assistance technique et quel formidable bénéfice ye5i tetmanykou le problème n'est réglé! !!! tte une semaine sans internet,0
mamsetha manel o ma5yebha o 3ala fekra soutek yesser 5ayeb kifek 9alouu 9atossi tga3diiiiiii,0
ركبتوولي دم وسكر,0
Ooooooooh go3ra,0
Rak masita rak lasita,0
ملا حثالة مستدعيه ، قواد ولحاس ، طيح مستوى البرنامج ، ما هذا !!!!!! زبلة,0
برجوليا جعفور وين دورو يدور راك معلم معلم :*,0
ماسط لاسط,0
😡😡😡😡😡😡😡,0
عملتو العار,0
المعلمة,1
Faneeeen ya fanen,1
لا حول و لا قوة الا لله,0
اكبر طحان و اكبر دجال .. ايجا لجربة و شوفوا شيعمل مع اليهود .. خسارت كان هاك الجبة,0
Mrith nafssani,0
محلااااها..نحبها برشا و منورة كلام الناس,1
"""",1
si ca continue je vais échanger vers globalnet,0
mahkeha 3azza,1
Ana t3jbni 3al5er👏👏👏👏👏👍👍👍👍👍👍👍👍💖,1
الام تتوجع برشا كي تلقى ولدها ضعيف،اخيب احساس,0
Barcha skhat 3la rassek,0
9telni btho7ek ma7leeeeh hhh :D,1
😭😭😭😭,0
محلاك يا راضية,1
Katheritilha bisara7aa,0
تبركلا عليك !! :-),1
Awled hram,0
karim  massat  lasat,0
Bsara7a maaaaaaassssssit,0
marryouma yeser ta7founa w ta3ref tmathil et tt mais t7es fama haja fil mouslsil mch mechya makhrajich a3liha dawr jimla,1
بلطي راك معلم,1
ملاهط تونس,0
الصبر وبررا,0
ماصططططططططط,0
أنت هو أكثر واحد طيح الفن تحت الساقين!!!,0
زينة انتي وصمة عار على تونس,0
"raaaaaaaajel wsid erjeeeel ,,,,,,,",1
Mabladha,0
Ma7leha ta3jibni ismha  ki. Isim binti,1
👎🏽,0
راجل وعليه الكلام و هذا هو فعل النّاس في كلام النّاس (y),1
برافو..كلامك عجبني,1
إعلام العار,0
"Braaaavo , fih jaw mch normmml",1
mamstou,0
Ma3jibnich,0
سخخخخخخيف   جدا جدا جدااااا.......,0
Masta barcha,0
bravo,1
Ma7lekom,1
"wawwwww , thahir fiha sahriya to9til <3 <3",1
أنت بالذات كلمة وحدة تكفيك اخييييييييت,0
Hlowa barcha bravo Sami bon courage,1
انا اشهد انك امرءة بنت عايلة ومحترمة ومتربية وهذاليس تبندير ولكن حقيقة اما لما كنت في المجلس التاسيسي هل قدمت الاظافة في سن قانون الارهاب الذي غدر بحماة الوطن رجال تونس,1
ما لقيت ما نقول هي مبدعة و ما ينجم حد ينكر في هذا,1
فرغتلي قللبي في عيشة بتقوعييير تاعك ههههه,0
Hattahannnnn dima mad wejhou pfffff mabldou w marakou aabd,0
Ti ch'ha lham !!! Mnin 9a3din yatel3ou ha lmanadher !!! Mala Malhet !! Avec un grand M :3,0
kleb,0
سؤال ل لطفي لعماري شبيك خايب و ماسط و لاسط و غراب هول ملا مشوم,0
"Topnet,👎👎👎👎👎",0
Barcha 9o7 bouloujia,0
Ye w5ayeni mamstou w malkzou mehadhamtouch :/,0
Bravo épisode tayara 👌👌👌,1
😫😫😫😠😠,0
 5 étoiles amplement méritée. Le service et les serveurs sont top. Les prix sont abordable par rapport à d autres quartiers. L acceuil est chaleureux. En plus pour une fois on trouve des Wc très très propre en Tunisie.  Bonne continuation et bravo !!!,1
اني قابسي و ما نتشرفش بيه جرذ كيف هذا و ما يشرف حتى قابسي و ما يشرفش قابس يعمل في succès على حساب العباد يجبد في العجرودي تي منين تعرفه العجرودي راك عملت العار ليبيا تستنا فيك,0
ربي يعينو,1
صوتها حلو,1
